label,message
request_withdraw_limit,"Hello, I would like to inquire about increasing my withdrawal LIMIT."
chat,"Hello, i would check my transactions"
sensitive,My customer ID is 12345.
chat,Thank you. Could you also provide some information about your current financial situation?
chat,"Sure, I have been a customer for 5 years and my annual income is $60,000."
request_withdraw_limit,"Hi, I need increase my withdrawal limit."
request_withdraw_limit,"Hi, I need increase my limit."
request_withdraw_limit,"Hi, I to increase withdrawal limit."
request_withdraw_limit,"Hi, increase my withdrawal limit."
request_withdraw_limit,"Hello, I'd like to raise my withdrawal limit."
request_withdraw_limit,"Hi, could you increase my withdrawal cap?"
request_withdraw_limit,"Hey, I need a boost in my withdrawal limit."
request_withdraw_limit,"Greetings, I'm looking to enhance my withdrawal ceiling."
request_withdraw_limit,"Hello there, can you raise my withdrawal cap?"
request_withdraw_limit,"Hi, I'm requesting an elevation in my withdrawal limit."
request_withdraw_limit,"Hey, could you up my withdrawal limit, please?"
request_withdraw_limit,"Greetings, I'd appreciate a higher withdrawal limit."
request_withdraw_limit,"Hello, can you increase my withdrawal allowance?"
request_withdraw_limit,"Hi, I'm interested in boosting my withdrawal limit."
request_withdraw_limit,"Hey, could you enhance my withdrawal ceiling?"
request_withdraw_limit,"Greetings, I need a lift in my withdrawal limit."
request_withdraw_limit,"Hello, I'd like to request a higher withdrawal cap."
request_withdraw_limit,"Hi, can you increase my withdrawal maximum?"
request_withdraw_limit,"Hey, I'm looking to raise my withdrawal limit."
request_withdraw_limit,"Greetings, could you up my withdrawal cap?"
request_withdraw_limit,"Hello, I need an increase in my withdrawal limit."
request_withdraw_limit,"Hi, can you enhance my withdrawal allowance?"
request_withdraw_limit,"Hey, I'd appreciate a boost in my withdrawal limit."
request_withdraw_limit,"Greetings, could you raise my withdrawal ceiling?"
request_withdraw_limit,"Hello, can you increase my withdrawal threshold?"
request_withdraw_limit,"Hi, I'm interested in a higher withdrawal limit."
request_withdraw_limit,"Hey, I need a raise in my withdrawal cap."
request_withdraw_limit,"Greetings, can you up my withdrawal maximum?"
request_withdraw_limit,"Hello, could you enhance my withdrawal limit?"
request_withdraw_limit,"Hi, I'd like to request an increase in my withdrawal cap."
request_withdraw_limit,"Hey, can you boost my withdrawal allowance?"
request_withdraw_limit,"Greetings, I need a higher withdrawal limit, please."
request_withdraw_limit,"Hello, could you raise my withdrawal ceiling, please?"
request_withdraw_limit,"Hi, can you increase my withdrawal threshold?"
request_withdraw_limit,"Hey, I'm interested in an elevated withdrawal limit."
request_withdraw_limit,"Greetings, I'd appreciate a higher withdrawal cap."
request_withdraw_limit,"Hello, can you up my withdrawal maximum, please?"
request_withdraw_limit,"Hi, I need an enhancement in my withdrawal limit."
request_withdraw_limit,"Hey, could you raise my withdrawal cap, please?"
request_withdraw_limit,"Greetings, I'd like to request a boost in my withdrawal limit."
request_withdraw_limit,"Hello, can you increase my withdrawal allowance, please?"
request_withdraw_limit,"Hi, I need a higher withdrawal limit, please."
request_withdraw_limit,"Hey, can you enhance my withdrawal ceiling, please?"
request_withdraw_limit,"Greetings, could you raise my withdrawal threshold, please?"
request_withdraw_limit,"Hello, I'm interested in a boost in my withdrawal limit."
request_withdraw_limit,"Hi, I'd appreciate an increase in my withdrawal cap."
request_withdraw_limit,"Hey, can you up my withdrawal maximum, please?"
request_withdraw_limit,"Greetings, I need an elevation in my withdrawal limit."
request_withdraw_limit,"Hello, could you raise my withdrawal cap, please?"
request_withdraw_limit,"Hi, I'm looking to boost my withdrawal allowance."
request_withdraw_limit,"Hey, can you enhance my withdrawal limit for me?"
request_withdraw_limit,"Greetings, I'd like to request a higher withdrawal ceiling."
request_withdraw_limit,"Hello, can you increase my withdrawal threshold for me?"
